Brand Name,daily_consumption_ml,consumption_share,cumulative_share,ABC_class
Grey Goose,158924.02,0.08072611394165169,0.08072611394165169,A
Jim Beam,139702.43,0.07096242771926874,0.15168854166092044,A
Captain Morgan,138035.53,0.07011571896291247,0.2218042606238329,A
Barefoot,132312.95,0.06720891075909144,0.28901317138292437,A
Yellow Tail,129843.65,0.0659546196006113,0.3549677909835357,A
Smirnoff,129176.67,0.06561582434815794,0.42058361533169364,A
Bacardi,127951.8,0.06499364656040936,0.485577261892103,A
Malibu,127279.51,0.06465215407147136,0.5502294159635743,A
Jack Daniels,125050.89,0.06352011731546277,0.6137495332790371,A
Absolut,123659.02,0.0628131111862951,0.6765626444653322,A
Jameson,120001.14,0.060955075895815475,0.7375177203611477,A
Sutter Home,117245.66,0.05955541842148313,0.7970731387826309,A
Miller,107719.33,0.05471647965674653,0.8517896184393774,B
Coors,97999.32,0.04977916033412939,0.9015687787735068,B
Heineken,96967.09,0.04925483483195551,0.9508236136054623,C
Budweiser,96812.65,0.049176386394537745,1.0,C
