Bar Name,Brand Name,Model,MAE,RMSE,WAPE
Anderson's Bar,Absolut,Mean,72.42891056910568,128.67027594431863,1.4858126770694748
Anderson's Bar,Absolut,Intermittent Mean,72.42891056910568,128.67027594431863,1.4858126770694748
Anderson's Bar,Absolut,MA-7,62.00033333333336,131.20390953270663,1.2718799789388755
Anderson's Bar,Absolut,MA-14,80.00223809523808,128.0024891018081,1.641172545905145
Anderson's Bar,Absolut,MA-30,94.80588888888884,129.59526237268258,1.9448558657740753
Anderson's Bar,Absolut,Croston,74.26820857274171,128.41605168186902,1.5235441888268348
Anderson's Bar,Absolut,SBA,72.99214814410465,128.5861917396896,1.4973669793854936
Anderson's Bar,Bacardi,Mean,140.75687164179104,192.11973168967563,1.2896200652501333
Anderson's Bar,Bacardi,Intermittent Mean,140.75687164179104,192.11973168967563,1.2896200652501333
Anderson's Bar,Bacardi,MA-7,138.972,192.9802358880343,1.2732670001649167
Anderson's Bar,Bacardi,MA-14,124.059,202.86341259081985,1.1366335000824583
Anderson's Bar,Bacardi,MA-30,123.29253333333334,203.49402559944275,1.1296111019490713
Anderson's Bar,Bacardi,Croston,129.3323754188558,198.8385223477649,1.1849483757430945
Anderson's Bar,Bacardi,SBA,128.32305664791298,199.56565522053634,1.1757009569559396
Anderson's Bar,Barefoot,Mean,101.29048594377512,125.71899122936127,1.6641281144754156
Anderson's Bar,Barefoot,Intermittent Mean,101.29048594377512,125.71899122936127,1.6641281144754156
Anderson's Bar,Barefoot,MA-7,79.9527142857143,127.32446442356746,1.3135642349009198
Anderson's Bar,Barefoot,MA-14,85.0708095238095,125.78644262559206,1.3976507717451083
Anderson's Bar,Barefoot,MA-30,92.70237777777776,124.83521354080258,1.523031819833042
Anderson's Bar,Barefoot,Croston,101.06410304140756,125.6692994813724,1.6604088100515477
Anderson's Bar,Barefoot,SBA,99.05424788933716,125.29033893856412,1.6273883695489701
Anderson's Bar,Budweiser,Mean,31.249347826086954,31.249347826086964,
Anderson's Bar,Budweiser,Intermittent Mean,31.24934782608695,31.24934782608696,
Anderson's Bar,Budweiser,MA-7,0.0,0.0,
Anderson's Bar,Budweiser,MA-14,0.0,0.0,
Anderson's Bar,Budweiser,MA-30,0.0,0.0,
Anderson's Bar,Budweiser,Croston,47.6775406893996,47.6775406893996,
Anderson's Bar,Budweiser,SBA,45.293663654929595,45.29366365492961,
Anderson's Bar,Captain Morgan,Mean,110.77082100750268,138.85453963795914,1.4020439752869294
Anderson's Bar,Captain Morgan,Intermittent Mean,110.77082100750265,138.85453963795914,1.402043975286929
Anderson's Bar,Captain Morgan,MA-7,95.27466666666668,144.04902012856599,1.2059066745422327
Anderson's Bar,Captain Morgan,MA-14,107.99066666666667,139.0081977198947,1.3668551177115855
Anderson's Bar,Captain Morgan,MA-30,113.59559999999998,139.05450862042076,1.4377976542063957
Anderson's Bar,Captain Morgan,Croston,112.74708483141946,138.95676512160608,1.4270578621814967
Anderson's Bar,Captain Morgan,SBA,111.06006392318184,138.8585248617916,1.4057049690724222
Anderson's Bar,Coors,Mean,130.1387054726368,192.2746382021111,1.2916352088991792
Anderson's Bar,Coors,Intermittent Mean,130.1387054726368,192.2746382021111,1.2916352088991792
Anderson's Bar,Coors,MA-7,100.75500000000001,212.2173896974515,1.0
Anderson's Bar,Coors,MA-14,100.75500000000001,212.2173896974515,1.0
Anderson's Bar,Coors,MA-30,113.8254,201.73846427739062,1.1297245794253388
Anderson's Bar,Coors,Croston,123.53040503255147,195.58778715252373,1.2260473925120488
Anderson's Bar,Coors,SBA,122.39163478092392,196.23211345401242,1.2147450228864465
Anderson's Bar,Grey Goose,Mean,86.91840286298573,102.44704123494297,2.1592309613785448
Anderson's Bar,Grey Goose,Intermittent Mean,86.91840286298564,102.44704123494297,2.1592309613785425
Anderson's Bar,Grey Goose,MA-7,75.58576190476191,98.85950896322,1.8777049734959026
Anderson's Bar,Grey Goose,MA-14,57.92004761904763,98.99517313217541,1.4388524867479515
Anderson's Bar,Grey Goose,MA-30,73.87700000000001,98.56190405695973,1.8352558316702965
Anderson's Bar,Grey Goose,Croston,73.72688384425328,98.53890215284758,1.8315266392252578
Anderson's Bar,Grey Goose,SBA,72.05325631870731,98.31702403619735,1.7899503072639957
Anderson's Bar,Heineken,Mean,94.89038036809819,154.04442809404176,1.5025236781217055
Anderson's Bar,Heineken,Intermittent Mean,94.89038036809819,154.04442809404176,1.5025236781217055
Anderson's Bar,Heineken,MA-7,63.153999999999996,165.7598527589436,1.0
Anderson's Bar,Heineken,MA-14,63.153999999999996,165.7598527589436,1.0
Anderson's Bar,Heineken,MA-30,73.60977777777777,160.44105963700332,1.1655600243496496
Anderson's Bar,Heineken,Croston,86.94548043209242,155.6994702580279,1.3767216713445298
Anderson's Bar,Heineken,SBA,85.75590641048782,156.02413366029901,1.3578855877773035
Anderson's Bar,Jack Daniels,Mean,90.01540932117531,112.7552714058714,1.672081806304068
Anderson's Bar,Jack Daniels,Intermittent Mean,90.01540932117531,112.7552714058714,1.672081806304068
Anderson's Bar,Jack Daniels,MA-7,192.5376666666666,205.06541823688033,3.576484647344011
Anderson's Bar,Jack Daniels,MA-14,129.1557619047619,133.46539334861558,2.399133673766343
Anderson's Bar,Jack Daniels,MA-30,104.25893333333336,116.5519879810436,1.9366624768580156
Anderson's Bar,Jack Daniels,Croston,100.59876261347978,115.12185218624778,1.868672952455616
Anderson's Bar,Jack Daniels,SBA,98.26054114947244,114.36931787647437,1.825239304832835
Anderson's Bar,Jameson,Mean,92.87883890577505,123.79710250544865,1.8948935483952312
Anderson's Bar,Jameson,Intermittent Mean,92.8788389057751,123.79710250544865,1.8948935483952318
Anderson's Bar,Jameson,MA-7,128.57809523809524,140.62674047539713,2.6232218878057596
Anderson's Bar,Jameson,MA-14,107.08580952380953,128.4329935257541,2.184741023702981
Anderson's Bar,Jameson,MA-30,91.17955555555555,123.47743950167127,1.8602251449659744
Anderson's Bar,Jameson,Croston,91.38778023540323,123.51382658050696,1.8644732988738877
Anderson's Bar,Jameson,SBA,89.26915789029975,123.18006779367677,1.8212496339301936
Anderson's Bar,Jim Beam,Mean,140.45014925373135,203.14638622122033,1.2362698863964803
Anderson's Bar,Jim Beam,Intermittent Mean,140.45014925373133,203.14638622122033,1.23626988639648
Anderson's Bar,Jim Beam,MA-7,165.01733333333334,198.0526310957407,1.4525150810975753
Anderson's Bar,Jim Beam,MA-14,149.2442857142857,199.2662972710871,1.313677608216725
Anderson's Bar,Jim Beam,MA-30,156.26013333333333,197.90849141290863,1.3754324812806609
Anderson's Bar,Jim Beam,Croston,141.99308938893358,202.29824403453046,1.249851149469523
Anderson's Bar,Jim Beam,SBA,140.57383491948696,203.07582649425404,1.2373585919960473
Anderson's Bar,Malibu,Mean,43.78973535353535,46.91005552391851,7.504667584153444
Anderson's Bar,Malibu,Intermittent Mean,43.78973535353535,46.91005552391851,7.504667584153444
Anderson's Bar,Malibu,MA-7,5.835,31.959611230426443,1.0
Anderson's Bar,Malibu,MA-14,5.835,31.959611230426443,1.0
Anderson's Bar,Malibu,MA-30,8.499666666666668,31.563427016089367,1.4566695229934306
Anderson's Bar,Malibu,Croston,52.31733272709229,54.041747974435026,8.966123860684197
Anderson's Bar,Malibu,SBA,49.9932160907377,52.035969393314915,8.56781766764999
Anderson's Bar,Miller,Mean,71.20233633633634,103.92218453819183,2.544212689785476
Anderson's Bar,Miller,Intermittent Mean,71.20233633633633,103.92218453819183,2.5442126897854758
Anderson's Bar,Miller,MA-7,128.7007619047619,135.637853808774,4.598755159892871
Anderson's Bar,Miller,MA-14,80.24790476190475,106.82500937845727,2.8674303137963535
Anderson's Bar,Miller,MA-30,61.13377777777779,101.85820996747283,2.1844414270627377
Anderson's Bar,Miller,Croston,72.34808911471045,104.23655095379742,2.585152901976361
Anderson's Bar,Miller,SBA,70.0342513256416,103.61807369654726,2.5024744988794967
Anderson's Bar,Smirnoff,Mean,134.68327642276424,226.06758127044742,1.3598373420083825
Anderson's Bar,Smirnoff,Intermittent Mean,134.68327642276424,226.06758127044742,1.3598373420083825
Anderson's Bar,Smirnoff,MA-7,155.03604761904765,223.83871336253682,1.565330251159061
Anderson's Bar,Smirnoff,MA-14,149.3152857142857,223.8109737501412,1.5075702540053277
Anderson's Bar,Smirnoff,MA-30,136.7649111111111,225.5444000708804,1.3808546847462344
Anderson's Bar,Smirnoff,Croston,134.61811428458458,226.0850266990586,1.3591794287831085
Anderson's Bar,Smirnoff,SBA,132.83939190368866,226.58615866270122,1.3412204573439528
Anderson's Bar,Sutter Home,Mean,103.86319393939394,158.01684518068555,1.983623619776942
Anderson's Bar,Sutter Home,Intermittent Mean,103.86319393939394,158.01684518068555,1.983623619776942
Anderson's Bar,Sutter Home,MA-7,52.36033333333333,166.0315925258403,1.0
Anderson's Bar,Sutter Home,MA-14,70.16833333333334,160.4085885377297,1.340104786702402
Anderson's Bar,Sutter Home,MA-30,118.35259999999997,160.41415807181386,2.26034848262998
Anderson's Bar,Sutter Home,Croston,120.09689764972427,160.8379474896512,2.293661823830844
Anderson's Bar,Sutter Home,SBA,116.7100694339047,160.04122585807346,2.228978732639302
Anderson's Bar,Yellow Tail,Mean,96.1921832829809,143.71611368501718,1.4224983479190336
Anderson's Bar,Yellow Tail,Intermittent Mean,96.1921832829809,143.71611368501718,1.4224983479190336
Anderson's Bar,Yellow Tail,MA-7,156.80152380952384,171.9185279112861,2.318794531506371
Anderson's Bar,Yellow Tail,MA-14,147.51909523809522,163.84089248133884,2.1815251728445655
Anderson's Bar,Yellow Tail,MA-30,108.11924444444442,143.2686246046604,1.5988767626577802
Anderson's Bar,Yellow Tail,Croston,91.43091139158656,144.86176492406403,1.3520882463042585
Anderson's Bar,Yellow Tail,SBA,90.24046582200724,145.2325758533537,1.3344838339890455
Brown's Bar,Absolut,Mean,75.62252525252525,95.16813260052577,1.8434926197553771
Brown's Bar,Absolut,Intermittent Mean,75.62252525252525,95.16813260052577,1.8434926197553771
Brown's Bar,Absolut,MA-7,50.87466666666666,98.11827937069965,1.2402002210232073
Brown's Bar,Absolut,MA-14,59.65704761904762,95.44294407003119,1.4542932365041186
Brown's Bar,Absolut,MA-30,64.28622222222222,94.7422426774644,1.5671412164943983
