Bar Name,Brand Name,Model,forecast_adjusted_ml,safety_stock_ml,rop_ml,par_level_ml,mean_on_hand_ml,service_level,mean_stockout_days,mean_lost_demand_ml
Anderson's Bar,Miller,MA-14,2.0514285714285716,648.8091672330531,663.1691672330531,677.5291672330532,305.30423410869855,0.53700878690519,6.686,700.7868429368627
Johnson's Bar,Miller,MA-14,3.7721428571428564,610.2026780098756,636.6076780098756,663.0126780098756,305.57755585444295,0.5672201621452231,6.336,574.9396100056199
Anderson's Bar,Budweiser,MA-7,28.58605113636364,297.55839447851486,497.66075243306034,697.7631103876058,382.0568491839234,0.6401402362428532,8.802,313.30767136433803
Anderson's Bar,Grey Goose,MA-30,40.25433333333333,563.141129597531,844.9214629308642,1126.7017962641976,508.0012711140098,0.6463801961199733,9.25,727.4565470155999
Brown's Bar,Jack Daniels,MA-30,21.964333333333336,366.546636266003,520.2969695993363,674.0473029326697,324.67685236366094,0.6746167207088833,6.3,500.8335877776148
Taylor's Bar,Miller,Intermittent Mean,40.217921348314604,593.1297682957578,874.6552177339601,1156.1806671721624,655.1377279206922,0.7015592086328187,3.454,359.66128791507646
Johnson's Bar,Jameson,MA-30,48.28633333333331,516.6608905588396,854.6652238921728,1192.669557225506,631.6150446632497,0.7277087966544533,4.17,400.1300227236815
Anderson's Bar,Absolut,MA-7,36.63103351955307,500.22528345468044,756.6425180915519,1013.0597527284235,565.6235935101671,0.7292562464326217,3.266,291.3929410470815
Brown's Bar,Yellow Tail,Intermittent Mean,81.51137741046836,854.9686686806294,1425.5483105539079,1996.1279524271863,1044.2583105258911,0.7356364925156522,4.78,659.2934389456282
Johnson's Bar,Yellow Tail,Intermittent Mean,60.33589385474859,713.2878778355591,1135.6391348187992,1557.9903918020395,836.3056923538442,0.7395256179719414,7.444,479.4150298493389
Brown's Bar,Budweiser,MA-7,65.96857142857145,532.9212666524469,994.701266652447,1456.4812666524472,832.0162924872573,0.7400820424057664,7.402,378.04513306831615
Brown's Bar,Grey Goose,Intermittent Mean,76.78595041322313,807.2416405468294,1344.7432934393914,1882.244946331953,977.4876509004473,0.7406944281478234,4.61,608.7574292309031
Taylor's Bar,Sutter Home,SBA,57.13110138070128,680.439207064142,1080.356916729051,1480.2746263939598,867.9191988415666,0.7528959065211719,7.314,332.685917646847
Brown's Bar,Smirnoff,MA-7,114.73285714285711,601.7772444102668,1404.9072444102667,2208.0372444102663,1404.747341034558,0.7688497207148313,2.964,330.2406455111794
Brown's Bar,Malibu,MA-30,126.4773333333333,644.3992491102064,1529.7405824435396,2415.081915776873,1538.2007700956024,0.7712263809330475,3.264,352.84905999999995
