Bar Name,Brand Name,Model,par_level_ml,mean_on_hand_ml,service_level,mean_turnover
Taylor's Bar,Barefoot,MA-7,1040.2072771835026,9886.991336666668,1.0,0.18804985831279514
Taylor's Bar,Heineken,MA-7,1613.2773032655068,8185.882019333334,1.0,0.10937400000212999
Taylor's Bar,Coors,SBA,1017.3115308543485,7737.565301333332,1.0,0.1582622791938162
Brown's Bar,Barefoot,MA-30,1741.6358439923445,7699.154396666667,1.0,0.2138386081350434
Anderson's Bar,Captain Morgan,MA-14,2652.9522073393005,7184.384882960979,1.0,0.32386789097538354
Anderson's Bar,Smirnoff,MA-14,1375.5977453779321,7014.202634666666,1.0,0.2966029110305091
Taylor's Bar,Captain Morgan,MA-30,1463.4241373700056,6398.504682666656,1.0,0.29248117065064855
Anderson's Bar,Barefoot,MA-7,1483.6310218020612,6158.70459799999,1.0,0.36212470406914027
Smith's Bar,Sutter Home,Intermittent Mean,1513.871336151457,5694.8745973333225,1.0,0.3210495277378251
Brown's Bar,Jameson,Intermittent Mean,1697.2601110395858,5399.952474666656,1.0,0.3810378275832912
Thomas's Bar,Jack Daniels,MA-30,1676.1876050634105,5173.147533333324,1.0,0.4087608301086801
Brown's Bar,Bacardi,Intermittent Mean,1556.3861247868463,5103.398953999989,1.0,0.3761484840403101
Anderson's Bar,Sutter Home,Intermittent Mean,1566.6921991795239,5047.11751799999,1.0,0.3830264369921104
Smith's Bar,Jameson,MA-7,1456.9440164335901,5028.135684666667,1.0,0.3246349705672693
Johnson's Bar,Jim Beam,Mean,1332.157225293756,4818.843393333324,1.0,0.29814427710757974
