lead_time_days,target_service,mean_service,median_service,series_below_target,mean_stockout_days,mean_lost_demand_ml,mean_on_hand_ml,mean_ending_inventory_ml,mean_orders,mean_order_qty_ml,mean_turnover
2,0.9,0.8658,0.9456,38,2.551,213.6,2301.0,1877.0,1.54,267.0,1.45
2,0.95,0.8759,0.9498,48,2.371,197.6,2318.0,1906.0,1.58,284.0,1.4
2,0.99,0.8925,0.9577,58,2.026,171.1,2352.0,1966.0,1.7,310.0,1.31
3,0.9,0.8806,0.9549,36,2.275,189.7,2334.0,1934.0,1.62,295.0,1.36
3,0.95,0.8913,0.9582,47,2.05,172.6,2357.0,1974.0,1.71,311.0,1.31
3,0.99,0.908,0.9675,56,1.704,145.9,2405.0,2053.0,1.82,344.0,1.2
5,0.9,0.9021,0.9673,33,1.835,154.8,2404.0,2051.0,1.8,338.0,1.23
5,0.95,0.9121,0.9766,41,1.635,138.9,2440.0,2109.0,1.88,360.0,1.16
5,0.99,0.9264,0.9853,52,1.371,116.1,2513.0,2225.0,2.0,399.0,1.05
7,0.9,0.916,0.9811,28,1.563,132.2,2480.0,2172.0,1.93,378.0,1.12
7,0.95,0.9247,0.9853,34,1.397,118.5,2527.0,2247.0,2.01,403.0,1.05
7,0.99,0.9365,0.9912,47,1.188,100.1,2623.0,2396.0,2.16,448.0,0.94
