Bar Name,Brand Name,Fold,Model,MAE,RMSE,WAPE
Anderson's Bar,Absolut,1,Mean,35.23928571428572,35.239285714285714,
Anderson's Bar,Absolut,1,Intermittent Mean,35.23928571428572,35.239285714285714,
Anderson's Bar,Absolut,1,MA-7,0.0,0.0,
Anderson's Bar,Absolut,1,MA-14,0.0,0.0,
Anderson's Bar,Absolut,1,MA-30,0.0,0.0,
Anderson's Bar,Absolut,1,Croston,48.79973561174467,48.79973561174467,
Anderson's Bar,Absolut,1,SBA,46.359748831157454,46.35974883115745,
Anderson's Bar,Absolut,2,Mean,62.67936567164181,112.45454751182304,1.577633165659245
Anderson's Bar,Absolut,2,Intermittent Mean,62.67936567164181,112.45454751182304,1.577633165659245
Anderson's Bar,Absolut,2,MA-7,39.730000000000004,118.9678192061478,1.0
Anderson's Bar,Absolut,2,MA-14,39.730000000000004,118.9678192061478,1.0
Anderson's Bar,Absolut,2,MA-30,39.730000000000004,118.9678192061478,1.0
Anderson's Bar,Absolut,2,Croston,75.5164727819461,112.50390753539901,1.9007418268800933
Anderson's Bar,Absolut,2,SBA,73.72714914284879,112.33353317790241,1.8557047355360883
Anderson's Bar,Absolut,3,Mean,88.37460850111856,153.73305558289388,1.279153863427765
Anderson's Bar,Absolut,3,Intermittent Mean,88.37460850111856,153.73305558289388,1.279153863427765
Anderson's Bar,Absolut,3,MA-7,84.03604761904765,155.62912946235642,1.216356562165069
Anderson's Bar,Absolut,3,MA-14,112.04147619047619,149.24880043433666,1.6217134034758816
Anderson's Bar,Absolut,3,MA-30,92.92633333333333,152.08834595940175,1.3450365474151451
Anderson's Bar,Absolut,3,Croston,85.141026480301,155.11643256696098,1.2323502735189396
Anderson's Bar,Absolut,3,SBA,84.3383918229526,155.4868457315462,1.2207327598429925
Anderson's Bar,Absolut,4,Mean,72.42891056910568,128.67027594431863,1.4858126770694748
Anderson's Bar,Absolut,4,Intermittent Mean,72.42891056910568,128.67027594431863,1.4858126770694748
Anderson's Bar,Absolut,4,MA-7,62.00033333333336,131.20390953270663,1.2718799789388755
Anderson's Bar,Absolut,4,MA-14,80.00223809523808,128.0024891018081,1.641172545905145
Anderson's Bar,Absolut,4,MA-30,94.80588888888884,129.59526237268258,1.9448558657740753
Anderson's Bar,Absolut,4,Croston,74.26820857274171,128.41605168186902,1.5235441888268348
Anderson's Bar,Absolut,4,SBA,72.99214814410465,128.5861917396896,1.4973669793854936
Anderson's Bar,Bacardi,1,Mean,101.52189931972786,128.4657064939236,2.345844614264461
Anderson's Bar,Bacardi,1,Intermittent Mean,101.52189931972795,128.46570649392362,2.3458446142644633
Anderson's Bar,Bacardi,1,MA-7,43.27733333333334,130.65126982416461,1.0
Anderson's Bar,Bacardi,1,MA-14,107.00819047619044,130.76797142553025,2.472615159810919
Anderson's Bar,Bacardi,1,MA-30,110.94175555555553,132.6539688500373,2.5635071990469727
Anderson's Bar,Bacardi,1,Croston,114.10731452282013,134.30814086735182,2.636653086823436
Anderson's Bar,Bacardi,1,SBA,110.56581546334579,132.46549305707953,2.554820432482264
Anderson's Bar,Bacardi,2,Mean,89.53180000000003,108.93197998045758,2.619497352175313
Anderson's Bar,Bacardi,2,Intermittent Mean,89.53180000000005,108.93197998045758,2.6194973521753133
Anderson's Bar,Bacardi,2,MA-7,34.179,106.43550906534905,1.0
Anderson's Bar,Bacardi,2,MA-14,55.15704761904762,100.95230111952147,1.6137700816012057
Anderson's Bar,Bacardi,2,MA-30,65.91571111111115,101.20816774571331,1.9285441677963409
Anderson's Bar,Bacardi,2,Croston,89.99652660975447,109.17383215129946,2.6330941984772656
Anderson's Bar,Bacardi,2,SBA,87.20565027926679,107.76927056258366,2.5514394885534037
Anderson's Bar,Bacardi,3,Mean,92.21011147540983,120.6577798425987,3.0418325353107423
Anderson's Bar,Bacardi,3,Intermittent Mean,92.21011147540983,120.6577798425987,3.0418325353107423
Anderson's Bar,Bacardi,3,MA-7,82.24838095238097,117.24112556642244,2.713214387820181
Anderson's Bar,Bacardi,3,MA-14,62.66233333333334,113.65679313177898,2.067108706648194
Anderson's Bar,Bacardi,3,MA-30,59.93580000000001,113.50617044460621,1.9771656660288979
Anderson's Bar,Bacardi,3,Croston,77.84529666945437,116.06215481753122,2.5679651866944107
Anderson's Bar,Bacardi,3,SBA,75.46873183598163,115.51369015342908,2.48956692735969
Anderson's Bar,Bacardi,4,Mean,140.75687164179104,192.11973168967563,1.2896200652501333
Anderson's Bar,Bacardi,4,Intermittent Mean,140.75687164179104,192.11973168967563,1.2896200652501333
Anderson's Bar,Bacardi,4,MA-7,138.972,192.9802358880343,1.2732670001649167
Anderson's Bar,Bacardi,4,MA-14,124.059,202.86341259081985,1.1366335000824583
Anderson's Bar,Bacardi,4,MA-30,123.29253333333334,203.49402559944275,1.1296111019490713
Anderson's Bar,Bacardi,4,Croston,129.3323754188558,198.8385223477649,1.1849483757430945
Anderson's Bar,Bacardi,4,SBA,128.32305664791298,199.56565522053634,1.1757009569559396
Anderson's Bar,Barefoot,1,Mean,171.98305234159778,233.50925202472698,1.0810470365178335
Anderson's Bar,Barefoot,1,Intermittent Mean,171.98305234159778,233.50925202472698,1.0810470365178335
Anderson's Bar,Barefoot,1,MA-7,169.99219047619044,237.71711602395885,1.0685329237002508
Anderson's Bar,Barefoot,1,MA-14,172.37733333333327,232.7173943506014,1.0835253987277582
Anderson's Bar,Barefoot,1,MA-30,168.87133333333333,240.23524337615407,1.0614874661615694
Anderson's Bar,Barefoot,1,Croston,169.9004490422949,237.91926427088305,1.0679562575468806
Anderson's Bar,Barefoot,1,SBA,169.35989325684693,239.12475271981054,1.0645584446695373
Anderson's Bar,Barefoot,2,Mean,139.90917647058822,214.71318252494063,1.3996516253560245
Anderson's Bar,Barefoot,2,Intermittent Mean,139.90917647058822,214.71318252494063,1.3996516253560245
Anderson's Bar,Barefoot,2,MA-7,170.9908571428571,215.81876939553092,1.7105928085519915
Anderson's Bar,Barefoot,2,MA-14,174.58628571428565,216.95881433885035,1.7465614817355506
Anderson's Bar,Barefoot,2,MA-30,185.5822666666667,221.29225256911081,1.8565652927837804
Anderson's Bar,Barefoot,2,Croston,164.4599734366575,214.27560851225508,1.6452578375015754
Anderson's Bar,Barefoot,2,SBA,161.23497476482473,213.76834456169138,1.6129949456264978
Anderson's Bar,Barefoot,3,Mean,111.2870949227373,143.60046804920688,1.8643760946212848
Anderson's Bar,Barefoot,3,Intermittent Mean,111.2870949227373,143.6004680492069,1.8643760946212848
Anderson's Bar,Barefoot,3,MA-7,59.691333333333326,154.5017085773919,1.0
Anderson's Bar,Barefoot,3,MA-14,102.05228571428573,142.55716717010276,1.7096667140001185
Anderson's Bar,Barefoot,3,MA-30,126.33133333333333,148.08540844166018,2.1164099757642094
Anderson's Bar,Barefoot,3,Croston,146.4879691336121,158.99208522152367,2.454091087488057
Anderson's Bar,Barefoot,3,SBA,142.14813734359817,156.2143988852194,2.3813865331136546
Anderson's Bar,Barefoot,4,Mean,101.29048594377512,125.71899122936127,1.6641281144754156
Anderson's Bar,Barefoot,4,Intermittent Mean,101.29048594377512,125.71899122936127,1.6641281144754156
Anderson's Bar,Barefoot,4,MA-7,79.9527142857143,127.32446442356746,1.3135642349009198
Anderson's Bar,Barefoot,4,MA-14,85.0708095238095,125.78644262559206,1.3976507717451083
Anderson's Bar,Barefoot,4,MA-30,92.70237777777776,124.83521354080258,1.523031819833042
Anderson's Bar,Barefoot,4,Croston,101.06410304140756,125.6692994813724,1.6604088100515477
Anderson's Bar,Barefoot,4,SBA,99.05424788933716,125.29033893856412,1.6273883695489701
Anderson's Bar,Budweiser,1,Mean,75.29516091954024,132.9733395278477,1.5489750513177813
Anderson's Bar,Budweiser,1,Intermittent Mean,75.29516091954024,132.9733395278477,1.5489750513177813
Anderson's Bar,Budweiser,1,MA-7,90.89995238095236,132.72014041599266,1.869997443189332
Anderson's Bar,Budweiser,1,MA-14,81.92342857142857,132.44884230676146,1.685332037621363
Anderson's Bar,Budweiser,1,MA-30,97.47044444444448,133.63100038913126,2.0051658677857866
Anderson's Bar,Budweiser,1,Croston,81.8172179653868,132.45240075088185,1.6831470688008585
Anderson's Bar,Budweiser,1,SBA,80.15684040045076,132.52859648891783,1.6489897153608148
Anderson's Bar,Budweiser,2,Mean,40.65868193384224,43.49728944038944,7.544287840272558
Anderson's Bar,Budweiser,2,Intermittent Mean,40.658681933842225,43.49728944038943,7.544287840272555
Anderson's Bar,Budweiser,2,MA-7,24.79600000000001,32.856826464315176,4.600940128649185
Anderson's Bar,Budweiser,2,MA-14,74.18933333333334,74.23342655040898,13.765957446808512
Anderson's Bar,Budweiser,2,MA-30,50.75835555555556,52.06053892344949,9.418299521688933
Anderson's Bar,Budweiser,2,Croston,48.25194400362546,49.85358563038225,8.953230579594036
Anderson's Bar,Budweiser,2,SBA,46.10881347011083,48.0052000489644,8.55556905061433
Anderson's Bar,Budweiser,3,Mean,34.459897260273955,34.45989726027397,
Anderson's Bar,Budweiser,3,Intermittent Mean,34.45989726027396,34.45989726027398,
Anderson's Bar,Budweiser,3,MA-7,0.0,0.0,
Anderson's Bar,Budweiser,3,MA-14,0.0,0.0,
Anderson's Bar,Budweiser,3,MA-30,5.389333333333332,5.389333333333333,
Anderson's Bar,Budweiser,3,Croston,47.6775406893996,47.6775406893996,
Anderson's Bar,Budweiser,3,SBA,45.293663654929595,45.29366365492961,
Anderson's Bar,Budweiser,4,Mean,31.249347826086954,31.249347826086964,
Anderson's Bar,Budweiser,4,Intermittent Mean,31.24934782608695,31.24934782608696,
Anderson's Bar,Budweiser,4,MA-7,0.0,0.0,
Anderson's Bar,Budweiser,4,MA-14,0.0,0.0,
Anderson's Bar,Budweiser,4,MA-30,0.0,0.0,
Anderson's Bar,Budweiser,4,Croston,47.6775406893996,47.6775406893996,
Anderson's Bar,Budweiser,4,SBA,45.293663654929595,45.29366365492961,
Anderson's Bar,Captain Morgan,1,Mean,99.43490196078433,132.86140580021564,3.004983437920348
Anderson's Bar,Captain Morgan,1,Intermittent Mean,99.43490196078433,132.86140580021564,3.004983437920348
Anderson's Bar,Captain Morgan,1,MA-7,82.62247619047619,127.83679173283495,2.496901667889882
Anderson's Bar,Captain Morgan,1,MA-14,57.85623809523808,125.63278454968464,1.7484508339449405
Anderson's Bar,Captain Morgan,1,MA-30,76.98146666666666,126.77289593074168,2.3264269164903797
Anderson's Bar,Captain Morgan,1,Croston,90.87733398676502,129.9667547947182,2.7463685097239354
Anderson's Bar,Captain Morgan,1,SBA,87.98796728742674,129.1453334421693,2.659050084237738
Anderson's Bar,Captain Morgan,2,Mean,168.26986852589644,240.70854121832,1.2042759704702488
Anderson's Bar,Captain Morgan,2,Intermittent Mean,168.26986852589644,240.70854121832,1.2042759704702488
Anderson's Bar,Captain Morgan,2,MA-7,163.4795714285715,244.37998933870114,1.1699927102748324
Anderson's Bar,Captain Morgan,2,MA-14,168.08985714285717,240.8367519257874,1.2029876626769143
Anderson's Bar,Captain Morgan,2,MA-30,152.96300000000005,254.23929300955817,1.0947275759158936
Anderson's Bar,Captain Morgan,2,Croston,160.42281948818743,246.99789457335038,1.1481161084699982
Anderson's Bar,Captain Morgan,2,SBA,159.38802851377804,247.9312313488341,1.1407103030464982
Anderson's Bar,Captain Morgan,3,Mean,123.1786725978648,160.84220144744492,1.4244865131953357
Anderson's Bar,Captain Morgan,3,Intermittent Mean,123.1786725978648,160.8422014474449,1.4244865131953357
Anderson's Bar,Captain Morgan,3,MA-7,159.37299999999996,173.38908298006154,1.8430519202673683
Anderson's Bar,Captain Morgan,3,MA-14,141.02333333333334,163.50738284554615,1.6308491733386785
Anderson's Bar,Captain Morgan,3,MA-30,152.98739999999995,169.2488851356684,1.769206335745151
Anderson's Bar,Captain Morgan,3,Croston,126.35763090545304,160.65532449842775,1.4612492346930197
Anderson's Bar,Captain Morgan,3,SBA,124.36336602684709,160.73884130965683,1.438186772958369
Anderson's Bar,Captain Morgan,4,Mean,110.77082100750268,138.85453963795914,1.4020439752869294
Anderson's Bar,Captain Morgan,4,Intermittent Mean,110.77082100750265,138.85453963795914,1.402043975286929
Anderson's Bar,Captain Morgan,4,MA-7,95.27466666666668,144.04902012856599,1.2059066745422327
Anderson's Bar,Captain Morgan,4,MA-14,107.99066666666667,139.0081977198947,1.3668551177115855
Anderson's Bar,Captain Morgan,4,MA-30,113.59559999999998,139.05450862042076,1.4377976542063957
Anderson's Bar,Captain Morgan,4,Croston,112.74708483141946,138.95676512160608,1.4270578621814967
Anderson's Bar,Captain Morgan,4,SBA,111.06006392318184,138.8585248617916,1.4057049690724222
Anderson's Bar,Coors,1,Mean,81.4435510204082,97.30368341823201,3.5458545418573797
Anderson's Bar,Coors,1,Intermittent Mean,81.4435510204082,97.30368341823201,3.5458545418573797
Anderson's Bar,Coors,1,MA-7,67.43485714285717,91.05282286135014,2.9359500105734115
Anderson's Bar,Coors,1,MA-14,70.02309523809521,92.02606683198313,3.048635615393226
Anderson's Bar,Coors,1,MA-30,77.027,95.08105187154798,3.353568629727455
Anderson's Bar,Coors,1,Croston,78.29827929241343,95.69830359263649,3.4089170446295
Anderson's Bar,Coors,1,SBA,75.53179866112609,94.37909033384992,3.288471192398025
Anderson's Bar,Coors,2,Mean,70.99972242424242,83.00896815010154,4.243264881820173
Anderson's Bar,Coors,2,Intermittent Mean,70.99972242424242,83.00896815010154,4.243264881820173
Anderson's Bar,Coors,2,MA-7,16.732333333333333,71.16971886507164,1.0
Anderson's Bar,Coors,2,MA-14,35.642380952380954,69.36162475808676,2.130150065883277
Anderson's Bar,Coors,2,MA-30,36.638511111111114,69.45537961886033,2.1896833144078993
Anderson's Bar,Coors,2,Croston,62.444451398293275,77.9875129423624,3.731963149090181
Anderson's Bar,Coors,2,SBA,60.158845495045284,76.80534220530436,3.5953649916356722
Anderson's Bar,Coors,3,Mean,70.98943934426231,85.17084412047163,2.8967005077839922
Anderson's Bar,Coors,3,Intermittent Mean,70.98943934426231,85.17084412047163,2.8967005077839922
Anderson's Bar,Coors,3,MA-7,24.507,82.0120187330288,1.0
Anderson's Bar,Coors,3,MA-14,24.507,82.0120187330288,1.0
Anderson's Bar,Coors,3,MA-30,37.89286666666667,78.65000705304763,1.5462058459487766
Anderson's Bar,Coors,3,Croston,61.46199935328602,81.21387355720914,2.507936481547558
Anderson's Bar,Coors,3,SBA,59.614249385621676,80.62784065714185,2.432539657470179
Anderson's Bar,Coors,4,Mean,130.1387054726368,192.2746382021111,1.2916352088991792
Anderson's Bar,Coors,4,Intermittent Mean,130.1387054726368,192.2746382021111,1.2916352088991792
Anderson's Bar,Coors,4,MA-7,100.75500000000001,212.2173896974515,1.0
Anderson's Bar,Coors,4,MA-14,100.75500000000001,212.2173896974515,1.0
Anderson's Bar,Coors,4,MA-30,113.8254,201.73846427739062,1.1297245794253388
Anderson's Bar,Coors,4,Croston,123.53040503255147,195.58778715252373,1.2260473925120488
Anderson's Bar,Coors,4,SBA,122.39163478092392,196.23211345401242,1.2147450228864465
Anderson's Bar,Grey Goose,1,Mean,114.73598587570625,148.92773320753315,2.0145967541693857
Anderson's Bar,Grey Goose,1,Intermittent Mean,114.73598587570628,148.92773320753315,2.014596754169386
Anderson's Bar,Grey Goose,1,MA-7,120.261,150.2177621210843,2.111607952849459
Anderson's Bar,Grey Goose,1,MA-14,145.9135238095238,160.7617179452269,2.5620288980174735
Anderson's Bar,Grey Goose,1,MA-30,118.29248888888888,149.71594037487566,2.0770437656441745
Anderson's Bar,Grey Goose,1,Croston,107.72386932782034,147.82816358905993,1.891474203476949
Anderson's Bar,Grey Goose,1,SBA,105.18529252809597,147.58089004766182,1.846900493303101
Anderson's Bar,Grey Goose,2,Mean,99.531686716792,132.89108543263097,2.982044123701711
Anderson's Bar,Grey Goose,2,Intermittent Mean,99.53168671679204,132.891085432631,2.9820441237017117
Anderson's Bar,Grey Goose,2,MA-7,132.8752857142857,149.81827542467738,3.981043404568586
Anderson's Bar,Grey Goose,2,MA-14,83.12614285714285,128.03172244584144,2.490521702284293
Anderson's Bar,Grey Goose,2,MA-30,82.73568888888886,127.94794442576159,2.478823408002183
Anderson's Bar,Grey Goose,2,Croston,86.43521077097792,128.80283059425938,2.5896638634681945
Anderson's Bar,Grey Goose,2,SBA,83.78230023242904,128.17595459722475,2.510180670294785
Anderson's Bar,Grey Goose,3,Mean,103.21841666666668,136.25450856110842,2.046603812243064
Anderson's Bar,Grey Goose,3,Intermittent Mean,103.21841666666668,136.25450856110842,2.046603812243064
Anderson's Bar,Grey Goose,3,MA-7,96.88542857142858,135.15825333068403,1.9210339963403376
Anderson's Bar,Grey Goose,3,MA-14,102.88357142857146,136.18305555328803,2.039964536395516
Anderson's Bar,Grey Goose,3,MA-30,74.91046666666666,135.6173148962428,1.4853167836512404
Anderson's Bar,Grey Goose,3,Croston,90.63193226257964,134.61170523095714,1.7970403351425555
Anderson's Bar,Grey Goose,3,SBA,88.6220356494507,134.55038609963466,1.7571883183854284
Anderson's Bar,Grey Goose,4,Mean,86.91840286298573,102.44704123494297,2.1592309613785448
Anderson's Bar,Grey Goose,4,Intermittent Mean,86.91840286298564,102.44704123494297,2.1592309613785425
Anderson's Bar,Grey Goose,4,MA-7,75.58576190476191,98.85950896322,1.8777049734959026
Anderson's Bar,Grey Goose,4,MA-14,57.92004761904763,98.99517313217541,1.4388524867479515
Anderson's Bar,Grey Goose,4,MA-30,73.87700000000001,98.56190405695973,1.8352558316702965
Anderson's Bar,Grey Goose,4,Croston,73.72688384425328,98.53890215284758,1.8315266392252578
Anderson's Bar,Grey Goose,4,SBA,72.05325631870731,98.31702403619735,1.7899503072639957
Anderson's Bar,Heineken,1,Mean,80.27094350282484,112.41460636259629,2.0679504552037313
Anderson's Bar,Heineken,1,Intermittent Mean,80.27094350282484,112.41460636259629,2.0679504552037313
Anderson's Bar,Heineken,1,MA-7,38.81666666666667,117.60130183519796,1.0
Anderson's Bar,Heineken,1,MA-14,38.81666666666667,117.60130183519796,1.0
Anderson's Bar,Heineken,1,MA-30,73.53242222222224,111.33720901487618,1.89435179619293
Anderson's Bar,Heineken,1,Croston,82.82485982970111,113.01566112504705,2.13374477878148
Anderson's Bar,Heineken,1,SBA,80.62445017154934,112.49156544857321,2.0770575398424045
Anderson's Bar,Heineken,2,Mean,69.00691228070177,104.1104314434503,3.810150860273591
Anderson's Bar,Heineken,2,Intermittent Mean,69.00691228070177,104.1104314434503,3.810150860273591
Anderson's Bar,Heineken,2,MA-7,18.111333333333334,99.19985813161898,1.0
Anderson's Bar,Heineken,2,MA-14,18.111333333333334,99.19985813161898,1.0
Anderson's Bar,Heineken,2,MA-30,54.34022222222222,99.70607948699352,3.0003435540668213
Anderson's Bar,Heineken,2,Croston,69.17233404202945,104.17256457072686,3.819284465087944
Anderson's Bar,Heineken,2,SBA,66.61928400659465,103.24335655992434,3.678320241833547
Anderson's Bar,Heineken,3,Mean,63.134144144144145,91.48386810875557,4.02547092373026
Anderson's Bar,Heineken,3,Intermittent Mean,63.134144144144145,91.48386810875557,4.02547092373026
Anderson's Bar,Heineken,3,MA-7,88.12899999999998,104.73516119240952,5.619157935006694
Anderson's Bar,Heineken,3,MA-14,51.90633333333332,87.56809862425165,3.3095789675033465
Anderson's Bar,Heineken,3,MA-30,32.587577777777774,84.49401262022457,2.0778035181682286
Anderson's Bar,Heineken,3,Croston,49.28608410747186,86.86888541547822,3.1425103041894022
Anderson's Bar,Heineken,3,SBA,47.60596323543158,86.46554419140206,3.0353847889799312
Anderson's Bar,Heineken,4,Mean,94.89038036809819,154.04442809404176,1.5025236781217055
Anderson's Bar,Heineken,4,Intermittent Mean,94.89038036809819,154.04442809404176,1.5025236781217055
Anderson's Bar,Heineken,4,MA-7,63.153999999999996,165.7598527589436,1.0
Anderson's Bar,Heineken,4,MA-14,63.153999999999996,165.7598527589436,1.0
Anderson's Bar,Heineken,4,MA-30,73.60977777777777,160.44105963700332,1.1655600243496496
Anderson's Bar,Heineken,4,Croston,86.94548043209242,155.6994702580279,1.3767216713445298
Anderson's Bar,Heineken,4,SBA,85.75590641048782,156.02413366029901,1.3578855877773035
Anderson's Bar,Jack Daniels,1,Mean,102.01765271966529,159.13275901478505,1.4506598324872422
Anderson's Bar,Jack Daniels,1,Intermittent Mean,102.01765271966529,159.13275901478505,1.4506598324872422
Anderson's Bar,Jack Daniels,1,MA-7,109.98414285714288,158.22360996430353,1.563940886699508
Anderson's Bar,Jack Daniels,1,MA-14,96.90371428571429,160.29429252775284,1.377941191407242
Anderson's Bar,Jack Daniels,1,MA-30,91.96840000000003,161.83353554021008,1.3077625311055818
Anderson's Bar,Jack Daniels,1,Croston,96.38250593074599,160.43763078110248,1.370529767945197
Anderson's Bar,Jack Daniels,1,SBA,95.0796306342087,160.8159039106452,1.3520032795479373
Anderson's Bar,Jack Daniels,2,Mean,115.34803841387857,178.0570545448356,1.339143735431454
Anderson's Bar,Jack Daniels,2,Intermittent Mean,115.34803841387857,178.0570545448356,1.339143735431454
Anderson's Bar,Jack Daniels,2,MA-7,120.69871428571427,176.56635307950356,1.4012629025418928
Anderson's Bar,Jack Daniels,2,MA-14,126.08842857142858,175.63226836786234,1.4638352897339693
Anderson's Bar,Jack Daniels,2,MA-30,123.64233333333331,175.98490660186363,1.4354371205114411
Anderson's Bar,Jack Daniels,2,Croston,114.30801006939345,178.41085826156123,1.327069430039358
Anderson's Bar,Jack Daniels,2,SBA,112.8993928992571,178.92282491444936,1.31071595853739
Anderson's Bar,Jack Daniels,3,Mean,114.9316309921962,204.63375755509958,1.3675661997381778
Anderson's Bar,Jack Daniels,3,Intermittent Mean,114.9316309921962,204.63375755509958,1.3675661997381778
Anderson's Bar,Jack Daniels,3,MA-7,217.55328571428572,246.7592053025877,2.588656557088632
Anderson's Bar,Jack Daniels,3,MA-14,143.8779523809524,204.90307975278668,1.7119971487839551
Anderson's Bar,Jack Daniels,3,MA-30,129.9800222222222,202.9705698472345,1.5466263159912685
Anderson's Bar,Jack Daniels,3,Croston,122.83314964236747,203.27440539153744,1.4615860073341282
Anderson's Bar,Jack Daniels,3,SBA,120.89354216024911,203.50907205160712,1.438506706967422
Anderson's Bar,Jack Daniels,4,Mean,90.01540932117531,112.7552714058714,1.672081806304068
Anderson's Bar,Jack Daniels,4,Intermittent Mean,90.01540932117531,112.7552714058714,1.672081806304068
Anderson's Bar,Jack Daniels,4,MA-7,192.5376666666666,205.06541823688033,3.576484647344011
Anderson's Bar,Jack Daniels,4,MA-14,129.1557619047619,133.46539334861558,2.399133673766343
Anderson's Bar,Jack Daniels,4,MA-30,104.25893333333336,116.5519879810436,1.9366624768580156
Anderson's Bar,Jack Daniels,4,Croston,100.59876261347978,115.12185218624778,1.868672952455616
Anderson's Bar,Jack Daniels,4,SBA,98.26054114947244,114.36931787647437,1.825239304832835
Anderson's Bar,Jameson,1,Mean,109.42712552301258,154.13081697658916,1.5987132456208828
Anderson's Bar,Jameson,1,Intermittent Mean,109.42712552301258,154.13081697658916,1.5987132456208828
Anderson's Bar,Jameson,1,MA-7,119.41699999999997,155.01172924438114,1.7446637544377395
Anderson's Bar,Jameson,1,MA-14,93.93199999999999,156.30365311896367,1.3723318772188697
Anderson's Bar,Jameson,1,MA-30,99.0418,155.1160452471346,1.4469852586672898
Anderson's Bar,Jameson,1,Croston,107.4063361192345,154.17081703267027,1.5691898274465568
Anderson's Bar,Jameson,1,SBA,105.45836931327274,154.27897949620692,1.5407303360742286
Anderson's Bar,Jameson,2,Mean,91.28071995043368,120.83260473091997,1.9958031896690527
Anderson's Bar,Jameson,2,Intermittent Mean,91.28071995043368,120.83260473091997,1.9958031896690527
Anderson's Bar,Jameson,2,MA-7,143.4325238095238,155.01168828368338,3.1360739559983046
Anderson's Bar,Jameson,2,MA-14,100.29871428571431,124.07410476306124,2.19297672060246
Anderson's Bar,Jameson,2,MA-30,91.36766666666671,120.85704452092703,1.9977042322296652
Anderson's Bar,Jameson,2,Croston,89.18872933645544,120.28571124577351,1.950062955122232
Anderson's Bar,Jameson,2,SBA,87.01610953629931,119.80213283247325,1.9025598073661198
Anderson's Bar,Jameson,3,Mean,107.28033556298774,146.89449335183963,1.696230119737973
Anderson's Bar,Jameson,3,Intermittent Mean,107.28033556298776,146.89449335183963,1.6962301197379732
Anderson's Bar,Jameson,3,MA-7,76.03109523809525,153.33694777335626,1.202142341396791
Anderson's Bar,Jameson,3,MA-14,79.89204761904763,151.77388793748372,1.2631886057012154
Anderson's Bar,Jameson,3,MA-30,93.73722222222221,147.90782975631217,1.4820973372193733
Anderson's Bar,Jameson,3,Croston,103.19491048732762,146.9053145401011,1.631634674273517
